"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
-1154.653198,-1132.380249,-167.96875,-1498.779663,-778.826416,-167.96875,2,3,"472ac3e23ebc878b"
-636.369568,-1271.87439,-167.96875,-788.408081,113.341171,-170.661499,2,3,"472ac3e23ebc878b"
-2513.919922,326.223297,-167.96875,-1121.533081,191.489471,-171.912109,3,2,"472ac3e23ebc878b"
-1313.965698,512.095642,-162.554077,-1331.186768,114.209373,-121.34375,3,2,"472ac3e23ebc878b"
-1320.735107,495.665955,-165.018494,-1223.453369,262.117798,-166.483215,3,2,"472ac3e23ebc878b"
-1429.27356,414.857239,-167.96875,-1830.938232,405.353851,-167.96875,3,2,"472ac3e23ebc878b"
-2600.459229,486.342102,-167.871582,-1771.70813,761.882996,-47.96875,3,2,"472ac3e23ebc878b"
-1104.598389,-673.005676,-134.96875,-956.363708,-278.327942,-363.96875,3,2,"472ac3e23ebc878b"
-1142.223999,511.407227,-79.96875,-455.826172,637.859497,-80.130737,3,2,"472ac3e23ebc878b"
-703.115356,-1365.436401,-167.96875,-710.486084,-861.215515,-253.3573,3,2,"472ac3e23ebc878b"
-714.307739,-1365.472778,-167.96875,-701.240234,-773.821533,-261.96875,3,2,"472ac3e23ebc878b"
-727.672119,-1363.808838,-167.96875,-623.907349,-798.203064,-263.96875,3,2,"472ac3e23ebc878b"
358.797729,-864.513794,-164.230713,-824.188843,-381.78418,-166.064392,2,3,"472ac3e23ebc878b"
-2529.922363,246.63475,-167.96875,-918.722351,241.314423,-171.613831,3,2,"472ac3e23ebc878b"
-1987.224121,519.528809,-166.143311,-1390.693237,468.091949,-167.96875,3,2,"472ac3e23ebc878b"
-1281.663452,502.112427,-164.051514,-1968.140015,541.155762,-165.71875,2,3,"472ac3e23ebc878b"
-1588.65332,13.891086,-167.984375,-1993.991089,45.937283,-159.96875,2,3,"472ac3e23ebc878b"
-1966.997192,-607.09668,-167.96875,-1913.433716,242.062927,-159.96875,3,2,"472ac3e23ebc878b"
-1571.9104,787.50885,-47.96875,-2021.35144,-641.564392,-167.96875,2,3,"472ac3e23ebc878b"
-2300.739502,25.800766,-167.96875,-1924.024658,-160.055359,-165.96875,3,2,"472ac3e23ebc878b"
-2326.620361,-6.146301,-166.661743,-2261.190186,489.581299,-167.96875,3,2,"472ac3e23ebc878b"
265.031036,-1470.847778,-175.96875,-979.176392,-2465.884521,-167.96875,2,3,"472ac3e23ebc878b"
-912.30426,-2535.0625,-167.96875,-1917.378906,-2019.234009,-203.054077,2,3,"472ac3e23ebc878b"
-1243.852173,-2232.058594,-200.467896,-1643.962036,-2215.625488,-254.570435,2,2,"472ac3e23ebc878b"
-1419.899292,-2123.883301,-241.467773,-1363.225586,-2322.719238,-218.298584,3,2,"472ac3e23ebc878b"
-1341.599854,-2432.095215,-206.681702,-169.625305,-2220.752441,-167.96875,3,2,"472ac3e23ebc878b"
-868.702393,-2271.888916,-171.733337,-1055.501099,-2410.929688,-167.96875,2,3,"472ac3e23ebc878b"
-779.434509,-2139.068604,-179.96875,-541.91272,-1778.53125,-179.96875,2,3,"472ac3e23ebc878b"
-766.983521,-2384.472656,-175.259155,-752.20929,-1778.216309,-179.96875,3,2,"472ac3e23ebc878b"
-278.244324,-2210.183594,-169.029785,-310.307251,-2195.743652,-171.738403,2,3,"472ac3e23ebc878b"
127.597214,-2365.377441,-39.96875,1009.497986,-2231.095947,-39.96875,3,2,"472ac3e23ebc878b"
181.925034,-1717.972534,-167.96875,-550.0625,-1666.97998,-172.266602,2,3,"472ac3e23ebc878b"
-699.830566,-944.117065,-215.96875,-872.623352,86.216591,-165.96875,2,3,"472ac3e23ebc878b"
16.305628,-1747.010254,-111.09375,69.549065,-2341.209473,-39.96875,2,3,"472ac3e23ebc878b"
-2151.654785,816.04187,-125.109253,-2325.715332,249.133148,-167.96875,2,3,"472ac3e23ebc878b"
-2186.763916,-490.43457,-167.96875,-1578.667603,-696.447632,-167.96875,3,2,"472ac3e23ebc878b"
-1182.949707,-512.521301,-167.96875,-456.762268,-776.189087,-258.134155,3,2,"472ac3e23ebc878b"
-1019.439758,-2409.59375,-167.96875,460.958008,-1453.625122,-175.96875,3,2,"472ac3e23ebc878b"
399.250916,-1649.699951,-211.590515,39.120777,-1468.69751,-173.480652,2,3,"472ac3e23ebc878b"
53.695381,-2033.654541,-39.96875,60.395939,-2367.554443,-39.96875,3,2,"472ac3e23ebc878b"
-11.278564,-1418.277466,-168.440735,80.39608,-2026.56604,-39.96875,2,3,"472ac3e23ebc878b"
-1203.806152,-2346.205811,-184.848877,-181.450989,-2211.161133,-167.96875,3,2,"472ac3e23ebc878b"
-1193.23938,-2388.331299,-179.927185,-252.55072,-2140.984131,-173.12793,3,2,"472ac3e23ebc878b"
-652.142456,-787.784241,-263.96875,-739.356995,-1323.127197,-167.96875,2,3,"472ac3e23ebc878b"
-740.068359,-22.666382,-143.96875,-846.262512,-719.936218,-216.671875,3,2,"472ac3e23ebc878b"
43.452511,-2064.517578,-39.96875,-433.107544,-2345.67334,-167.96875,2,3,"472ac3e23ebc878b"
-534.51062,-2326.866211,-170.047607,-6.710144,-1430.039795,-168.897583,3,2,"472ac3e23ebc878b"
-158.287476,-2392.365479,-163.96875,-385.417847,-2394.182373,-163.96875,2,3,"472ac3e23ebc878b"
-525.153625,-1459.842407,-60.886047,-164.521118,-2394.890625,-163.96875,3,2,"472ac3e23ebc878b"
-102.737854,-1430.305298,-72.175354,-289.723267,-1974.232544,-169.020996,2,3,"472ac3e23ebc878b"
-409.749451,-2115.134766,-179.96875,-103.847351,-1429.739868,-72.175354,3,2,"472ac3e23ebc878b"
79.882767,-1671.960083,-167.96875,-425.981445,-2075.698975,-179.96875,2,3,"472ac3e23ebc878b"
-698.328613,-764.819458,-261.96875,-775.900757,-1166.455566,-120.175354,2,3,"472ac3e23ebc878b"
-763.984985,272.442657,-166.502014,-690.002319,-941.577515,-215.96875,3,2,"472ac3e23ebc878b"
-863.444031,-2515.287842,-35.96875,45.20874,-1520.868042,-174.089478,3,2,"472ac3e23ebc878b"
70.213013,-2090.876221,-39.96875,-1006.84552,-2382.257324,-167.96875,2,3,"472ac3e23ebc878b"
-142.293518,-1470.225464,-69.175354,130.359512,-2015.982544,-39.96875,2,3,"472ac3e23ebc878b"
-277.481689,-1793.100464,-167.96875,-1049.042725,-1478.823975,-164.404602,2,3,"472ac3e23ebc878b"
151.937378,-1914.734375,-39.96875,-1129.983521,-2384.603027,-167.96875,2,3,"472ac3e23ebc878b"
-893.545532,88.405777,-165.96875,-2497.046143,301.284607,-167.96875,2,3,"472ac3e23ebc878b"
-1581.043457,87.199173,-167.989746,-1575.321777,-79.846069,-168.129761,2,3,"472ac3e23ebc878b"
-1191.521973,135.235352,-169.565918,-2286.355469,356.72583,-167.96875,2,3,"472ac3e23ebc878b"
-1927.110474,-259.828857,-127.96875,-1596.886963,-214.093323,-163.91803,3,2,"472ac3e23ebc878b"
-1560.008057,182.301498,-168.705444,-1917.690552,-275.929138,-127.96875,2,3,"472ac3e23ebc878b"
-1751.164429,65.460243,-167.395386,-2176.312012,722.659302,-127.96875,2,3,"472ac3e23ebc878b"
419.578339,-1460.414062,-175.96875,449.567963,-1556.311768,-236.749023,3,2,"472ac3e23ebc878b"
571.969055,-1694.095581,-262.365906,400.78183,-1456.44519,-175.96875,2,3,"472ac3e23ebc878b"
-34.148254,-1509.557983,-167.96875,552.713684,-1614.675659,-263.96875,3,2,"472ac3e23ebc878b"
-29.550415,-1486.994995,-167.96875,564.935913,-1702.175781,-262.149841,3,2,"472ac3e23ebc878b"
53.479321,-2239.510986,-39.96875,-198.522583,-1860.131348,-167.96875,2,3,"472ac3e23ebc878b"
-556.539856,-1341.812744,-163.96875,-631.232666,-1235.32019,-159.625,2,3,"472ac3e23ebc878b"
-1099.735962,-2456.616455,-167.96875,-456.03064,-2067.839355,-179.96875,3,2,"472ac3e23ebc878b"
-1123.454102,-2462.693359,-167.96875,86.12809,-1700.499756,-167.96875,3,2,"472ac3e23ebc878b"
