"arme","temps_kill"
awp,103.0
awp,29.859375
m4a1,31.734375
awp,36.984375
ak-47,37.890625
ak-47,38.46875
ak-47,57.828125
ak-47,101.546875
ak-47,67.484375
mp9,69.3125
mp9,70.296875
mp9,72.703125
ak-47,96.171875
ak-47,99.015625
ak-47,101.46875
ak-47,44.609375
ak-47,18.234375
ak-47,22.0625
awp,26.25
ak-47,36.703125
awp,37.609375
awp,80.59375
m4a1,89.0625
m4a1,90.3125
m4a1,17.328125
ak-47,30.40625
m4a1,31.8125
ak-47,32.59375
m4a1,33.09375
ak-47,18.109375
ak-47,25.96875
m4a1,27.046875
m4a1,27.25
ak-47,19.640625
awp,20.9375
m4a1,27.5625
ak-47,30.15625
awp,31.78125
m4a1,37.6875
m4a1,43.765625
ak-47,25.46875
ak-47,27.84375
ak-47,31.84375
awp,16.125
ak-47,21.140625
ak-47,22.984375
awp,34.859375
awp,46.984375
awp,49.296875
awp,12.640625
ak-47,14.71875
awp,15.921875
ak-47,17.515625
ak-47,30.609375
ak-47,31.5625
ak-47,38.078125
ak-47,46.375
ak-47,56.46875
m4a1,34.8125
awp,35.375
m4a1,36.15625
m4a1,38.0625
ak-47,55.078125
mp9,25.90625
ak-47,26.640625
ak-47,29.28125
ak-47,44.921875
ak-47,7.671875
ak-47,16.640625
m4a1,18.125
ak-47,19.546875
ak-47,25.546875
ak-47,60.015625
m4a1,66.578125
m4a1,68.9375
ak-47,79.3125
m4a1,85.015625
m4a1,85.875
m4a1,87.734375
m4a1,77.46875
m4a1,78.84375
m4a1,85.234375
ak-47,85.25
m4a1,93.78125
m4a1,26.78125
awp,66.015625
awp,70.234375
ak-47,36.421875
ak-47,65.0
ak-47,86.109375
m4a1,89.9375
m4a1,91.265625
m4a1,94.296875
m4a1,97.421875
ak-47,9.125
ak-47,19.703125
awp,20.765625
ak-47,76.546875
awp,99.578125
m4a1,99.734375
ak-47,103.40625
awp,33.5625
ak-47,85.6875
m4a1,92.375
awp,95.0
ak-47,15.859375
ak-47,17.15625
awp,35.546875
ak-47,39.109375
ak-47,47.4375
ak-47,76.5625
ak-47,86.546875
ak-47,98.609375
ak-47,107.125
ak-47,63.984375
ak-47,70.296875
ak-47,70.8125
ak-47,73.015625
ak-47,79.296875
ak-47,12.65625
ak-47,15.265625
ak-47,52.625
ak-47,60.578125
ak-47,70.625
m4a1,12.578125
m4a1,20.5
m4a1,22.25
mp9,26.921875
m4a1,30.46875
mp9,58.78125
m4a1,63.265625
m4a1,63.375
m4a1,66.078125
m4a1,67.875
m4a1,42.015625
awp,60.9375
awp,65.1875
ak-47,67.625
ak-47,49.34375
ak-47,42.15625
m4a1,75.59375
ak-47,82.640625
awp,86.546875
m4a1,32.828125
ak-47,39.875
awp,40.21875
ak-47,51.3125
ak-47,56.484375
ak-47,60.796875
m4a1,70.578125
m4a1,85.765625
ak-47,86.59375
ak-47,19.5625
m4a1,31.1875
m4a1,36.15625
ak-47,36.421875
mp9,44.0
ak-47,105.015625
ak-47,73.40625
ak-47,74.703125
ak-47,75.296875
ak-47,79.546875
ak-47,84.671875
m4a1,86.6875
ak-47,16.25
ak-47,30.640625
ak-47,34.171875
ak-47,67.609375
ak-47,67.671875
awp,44.265625
ak-47,45.984375
ak-47,48.390625
ak-47,49.8125
mp9,49.96875
mp9,16.375
ak-47,30.875
awp,46.921875
mp9,98.515625
ak-47,103.90625
m4a1,10.53125
m4a1,52.796875
m4a1,53.09375
m4a1,60.546875
mp9,63.046875
ak-47,46.25
ak-47,50.625
ak-47,51.609375
m4a1,95.578125
m4a1,12.75
ak-47,14.140625
m4a1,19.4375
ak-47,19.59375
m4a1,98.203125
m4a1,102.234375
ak-47,104.375
ak-47,113.9375
ak-47,30.21875
ak-47,30.703125
ak-47,36.53125
m4a1,37.515625
ak-47,104.6875
ak-47,21.765625
awp,21.875
m4a1,35.90625
ak-47,36.078125
mp9,47.421875
ak-47,98.140625
ak-47,25.359375
ak-47,25.859375
ak-47,33.40625
ak-47,43.734375
m4a1,52.046875
m4a1,72.328125
ak-47,38.40625
ak-47,53.359375
m4a1,57.984375
m4a1,59.828125
m4a1,62.96875
ak-47,12.328125
m4a1,47.015625
ak-47,112.8125
ak-47,11.375
m4a1,11.59375
awp,27.0625
ak-47,61.546875
ak-47,99.265625
ak-47,100.953125
ak-47,94.796875
ak-47,95.859375
awp,96.234375
ak-47,96.484375
ak-47,61.8125
m4a1,64.265625
m4a1,67.84375
mp9,111.75
awp,113.453125
m4a1,113.671875
m4a1,40.21875
mac-10,72.015625
m4a1,77.3125
m4a1,40.265625
ak-47,66.125
ak-47,101.765625
awp,102.75
m4a1,114.59375
awp,10.953125
awp,81.34375
ak-47,81.640625
ak-47,71.734375
ak-47,77.046875
ak-47,78.53125
mp9,78.890625
ak-47,80.734375
m4a1,90.53125
m4a1,92.25
m4a1,96.5625
ak-47,97.328125
mac-10,29.59375
ak-47,32.09375
mac-10,33.96875
m4a1,14.78125
m4a1,42.34375
ak-47,42.453125
m4a1,45.25
m4a1,45.84375
ak-47,25.3125
awp,29.0625
m4a1,41.59375
ak-47,41.796875
ak-47,42.421875
ak-47,43.96875
m4a1,48.25
ak-47,60.46875
ak-47,72.09375
m4a1,111.515625
m4a1,114.234375
ak-47,30.796875
ak-47,32.15625
m4a1,38.78125
m4a1,41.28125
m4a1,81.625
ak-47,83.484375
ak-47,16.703125
ak-47,20.234375
ak-47,40.40625
ak-47,83.359375
ak-47,84.953125
mp9,32.90625
ak-47,36.03125
ak-47,52.453125
awp,16.859375
ak-47,21.9375
ak-47,88.625
ak-47,108.515625
awp,113.46875
awp,49.0625
ak-47,50.796875
awp,63.25
ak-47,81.78125
ak-47,90.375
ak-47,94.953125
ak-47,18.078125
ak-47,25.9375
ak-47,68.0625
awp,69.453125
ak-47,70.828125
m4a1,45.984375
m4a1,46.5
m4a1,47.703125
m4a1,48.0
m4a1,48.375
m4a1,28.5625
m4a1,38.984375
ak-47,11.90625
ak-47,12.609375
ak-47,77.640625
ak-47,80.265625
m4a1,50.3125
ak-47,51.0
m4a1,51.640625
ak-47,84.75
ak-47,86.546875
awp,88.1875
mac-10,49.640625
mac-10,87.203125
mac-10,91.0625
m4a1,14.65625
ak-47,17.0
ak-47,25.796875
ak-47,56.796875
m4a1,71.65625
m4a1,99.953125
m4a1,104.890625
ak-47,84.40625
m4a1,95.234375
awp,97.28125
awp,100.296875
m4a1,105.984375
m4a1,107.359375
m4a1,111.28125
ak-47,10.390625
mp9,12.609375
ak-47,13.28125
m4a1,14.453125
awp,22.78125
ak-47,35.8125
m4a1,46.15625
awp,82.28125
m4a1,24.09375
m4a1,25.5
awp,36.921875
m4a1,46.421875
m4a1,97.765625
ak-47,88.09375
ak-47,89.515625
ak-47,92.078125
ak-47,94.203125
ak-47,36.8125
ak-47,51.734375
ak-47,59.75
awp,60.765625
m4a1,21.6875
ak-47,23.875
ak-47,27.0625
m4a1,28.171875
ak-47,37.59375
m4a1,71.421875
awp,76.921875
ak-47,13.796875
ak-47,14.515625
ak-47,18.234375
ak-47,61.578125
ak-47,61.859375
ak-47,45.359375
awp,90.96875
awp,94.390625
awp,96.640625
m4a1,107.1875
ak-47,62.640625
ak-47,80.578125
