"match_checksum","number","winner_side"
"9cf2b1cce364afa9",11,2
"9cf2b1cce364afa9",12,3
"5ef7cf95e5d4a0b7",1,2
"5ef7cf95e5d4a0b7",2,2
"5ef7cf95e5d4a0b7",3,2
"5ef7cf95e5d4a0b7",4,2
"5ef7cf95e5d4a0b7",5,2
"5ef7cf95e5d4a0b7",6,2
"5ef7cf95e5d4a0b7",7,3
"5ef7cf95e5d4a0b7",8,2
"5ef7cf95e5d4a0b7",9,2
"5ef7cf95e5d4a0b7",10,3
"5ef7cf95e5d4a0b7",11,2
"5ef7cf95e5d4a0b7",12,3
ce4178421b6000ff,1,3
ce4178421b6000ff,2,3
ce4178421b6000ff,3,2
ce4178421b6000ff,4,2
ce4178421b6000ff,5,2
ce4178421b6000ff,6,2
ce4178421b6000ff,7,2
ce4178421b6000ff,8,3
ce4178421b6000ff,9,2
ce4178421b6000ff,10,2
ce4178421b6000ff,11,3
ce4178421b6000ff,12,3
"755f8554d53a9fbb",1,3
"755f8554d53a9fbb",2,3
"755f8554d53a9fbb",3,3
"755f8554d53a9fbb",4,2
"755f8554d53a9fbb",5,3
"755f8554d53a9fbb",6,2
"755f8554d53a9fbb",7,3
"755f8554d53a9fbb",8,3
"755f8554d53a9fbb",9,3
"755f8554d53a9fbb",10,2
"755f8554d53a9fbb",11,3
"755f8554d53a9fbb",12,3
"8f8c9d172e900f90",1,2
"8f8c9d172e900f90",2,2
"8f8c9d172e900f90",3,2
"8f8c9d172e900f90",4,2
"8f8c9d172e900f90",5,2
"8f8c9d172e900f90",6,3
"8f8c9d172e900f90",7,3
"8f8c9d172e900f90",8,3
"8f8c9d172e900f90",9,3
"8f8c9d172e900f90",10,3
"8f8c9d172e900f90",11,2
"8f8c9d172e900f90",12,3
"5db37f2170255bf8",1,2
"5db37f2170255bf8",2,2
"5db37f2170255bf8",3,2
"5db37f2170255bf8",4,2
"5db37f2170255bf8",5,2
"5db37f2170255bf8",6,2
"5db37f2170255bf8",7,3
"5db37f2170255bf8",8,3
"5db37f2170255bf8",9,2
"5db37f2170255bf8",10,2
"5db37f2170255bf8",11,3
"5db37f2170255bf8",12,3
"8b28d6f61a6f4e65",1,3
"8b28d6f61a6f4e65",2,3
"8b28d6f61a6f4e65",3,2
"8b28d6f61a6f4e65",4,2
"8b28d6f61a6f4e65",5,2
"8b28d6f61a6f4e65",6,2
"8b28d6f61a6f4e65",7,2
"8b28d6f61a6f4e65",8,3
"8b28d6f61a6f4e65",9,2
"8b28d6f61a6f4e65",10,2
"8b28d6f61a6f4e65",11,2
"8b28d6f61a6f4e65",12,3
e13101daf8f9056b,1,3
e13101daf8f9056b,2,3
e13101daf8f9056b,3,3
e13101daf8f9056b,4,2
e13101daf8f9056b,5,2
e13101daf8f9056b,6,2
e13101daf8f9056b,7,2
e13101daf8f9056b,8,2
e13101daf8f9056b,9,2
e13101daf8f9056b,10,2
e13101daf8f9056b,11,3
e13101daf8f9056b,12,3
"6eefe38f5c129a16",1,3
"6eefe38f5c129a16",2,2
"6eefe38f5c129a16",3,2
"6eefe38f5c129a16",4,2
"6eefe38f5c129a16",5,2
"6eefe38f5c129a16",6,2
"6eefe38f5c129a16",7,2
"6eefe38f5c129a16",8,2
"6eefe38f5c129a16",9,2
"6eefe38f5c129a16",10,2
"6eefe38f5c129a16",11,2
"6eefe38f5c129a16",12,3
a7d25e8345edc7df,1,3
a7d25e8345edc7df,2,3
a7d25e8345edc7df,3,3
a7d25e8345edc7df,4,2
a7d25e8345edc7df,5,3
a7d25e8345edc7df,6,3
a7d25e8345edc7df,7,3
a7d25e8345edc7df,8,2
a7d25e8345edc7df,9,3
a7d25e8345edc7df,10,2
a7d25e8345edc7df,11,2
a7d25e8345edc7df,12,2
"6df18263276a9b40",1,2
"6df18263276a9b40",2,3
"6df18263276a9b40",3,3
"6df18263276a9b40",4,3
"6df18263276a9b40",5,2
"6df18263276a9b40",6,3
"6df18263276a9b40",7,3
"6df18263276a9b40",8,3
"6df18263276a9b40",9,2
"6df18263276a9b40",10,3
"6df18263276a9b40",11,2
"6df18263276a9b40",12,3
"4c63296d87f275d6",1,2
"4c63296d87f275d6",2,2
"4c63296d87f275d6",3,3
"4c63296d87f275d6",4,3
"4c63296d87f275d6",5,3
"4c63296d87f275d6",6,3
"4c63296d87f275d6",7,3
"4c63296d87f275d6",8,3
"4c63296d87f275d6",9,3
"4c63296d87f275d6",10,2
"4c63296d87f275d6",11,3
"4c63296d87f275d6",12,3
"741062afc2a69cbc",1,2
"741062afc2a69cbc",2,2
"741062afc2a69cbc",3,2
"741062afc2a69cbc",4,2
"741062afc2a69cbc",5,2
"741062afc2a69cbc",6,3
"741062afc2a69cbc",7,2
"741062afc2a69cbc",8,2
"741062afc2a69cbc",9,3
"741062afc2a69cbc",10,2
"741062afc2a69cbc",11,2
"741062afc2a69cbc",12,2
"4ceefac6670032b6",1,2
"4ceefac6670032b6",2,2
"4ceefac6670032b6",3,2
"4ceefac6670032b6",4,2
"4ceefac6670032b6",5,3
"4ceefac6670032b6",6,2
"4ceefac6670032b6",7,3
"4ceefac6670032b6",8,2
"4ceefac6670032b6",9,3
"4ceefac6670032b6",10,2
"4ceefac6670032b6",11,2
"4ceefac6670032b6",12,2
"8bc4eee4c905c740",1,3
"8bc4eee4c905c740",2,3
"8bc4eee4c905c740",3,3
"8bc4eee4c905c740",4,3
"8bc4eee4c905c740",5,3
"8bc4eee4c905c740",6,3
"8bc4eee4c905c740",7,3
"8bc4eee4c905c740",8,2
"8bc4eee4c905c740",9,3
"8bc4eee4c905c740",10,3
"8bc4eee4c905c740",11,2
"8bc4eee4c905c740",12,2
"6d7e93763553c4ad",1,3
"6d7e93763553c4ad",2,3
"6d7e93763553c4ad",3,3
"6d7e93763553c4ad",4,3
"6d7e93763553c4ad",5,3
"6d7e93763553c4ad",6,2
"6d7e93763553c4ad",7,2
"6d7e93763553c4ad",8,2
"6d7e93763553c4ad",9,2
"6d7e93763553c4ad",10,3
"6d7e93763553c4ad",11,3
"6d7e93763553c4ad",12,2
"5eb526ce6c2105f1",1,3
"5eb526ce6c2105f1",2,3
"5eb526ce6c2105f1",3,3
"5eb526ce6c2105f1",4,2
"5eb526ce6c2105f1",5,2
"5eb526ce6c2105f1",6,2
"5eb526ce6c2105f1",7,2
"5eb526ce6c2105f1",8,2
"5eb526ce6c2105f1",9,2
"5eb526ce6c2105f1",10,3
"5eb526ce6c2105f1",11,3
"5eb526ce6c2105f1",12,3
b61c9a50a50ac1af,1,2
b61c9a50a50ac1af,2,2
b61c9a50a50ac1af,3,3
b61c9a50a50ac1af,4,2
b61c9a50a50ac1af,5,2
b61c9a50a50ac1af,6,3
b61c9a50a50ac1af,7,2
b61c9a50a50ac1af,8,2
b61c9a50a50ac1af,9,2
b61c9a50a50ac1af,10,2
b61c9a50a50ac1af,11,2
b61c9a50a50ac1af,12,2
"958fa9238efe1849",1,3
"958fa9238efe1849",3,2
"958fa9238efe1849",4,2
"958fa9238efe1849",5,3
"958fa9238efe1849",6,2
"958fa9238efe1849",7,3
"958fa9238efe1849",8,3
"958fa9238efe1849",9,3
"958fa9238efe1849",10,3
"958fa9238efe1849",11,2
"958fa9238efe1849",12,3
"126487747bcfd5c",1,3
"126487747bcfd5c",2,3
"126487747bcfd5c",3,3
"126487747bcfd5c",4,3
"126487747bcfd5c",5,3
"126487747bcfd5c",6,2
"126487747bcfd5c",7,2
"126487747bcfd5c",8,2
"126487747bcfd5c",9,3
